President,Party
Washington,"None, Federalist"
Adams,Federalist
Jefferson,Democratic-Republican
Madison,Democratic-Republican
Monroe,Democratic-Republican
Adams,Democratic-Republican
Jackson,Democrat
Buren,Democrat
Harrison,Whig
Tyler,Whig
Polk,Democrat
Taylor,Whig
Fillmore,Whig
Pierce,Democrat
Buchanan,Democrat
Lincoln,Republican
Johnson,National Union
Grant,Republican
Hayes,Republican
Garfield,Republican
Arthur,Republican
Cleveland,Democrat
Harrison,Republican
Cleveland,Democrat
McKinley,Republican
Roosevelt,Republican
Taft,Republican
Wilson,Democrat
Harding,Republican
Coolidge,Republican
Hoover,Republican
Roosevelt,Democrat
Truman,Democrat
Eisenhower,Republican
Kennedy,Democrat
Johnson,Democrat
Nixon,Republican
Ford,Republican
Carter,Democrat
Reagan,Republican
Bush,Republican
Clinton,Democrat
Bush,Republican
Obama,Democrat
